Empresa,Numero,Trimestre,Ativo total,Lucro operacional,Depositos totais,M_Roa,M_Ets,DP_Roa,z_score,TAM,LIQ,SB  t,SB t-1,PQ_dummy,Roa,Ets,LN Depósitos,Patrimonio liquido,LN PL
BTGPactual,9,17_2t,119113238,307913,7687650,0.00404173853126,0.113350169577599,0.003861801519191,30.3982241255792,18.5955851784427,0.064540685225936,0.058682635,-0.053651267,0,0.005285864909588,0.083594879165568,14.1286257005074,18217226,16.7178781879304
BTGPactual,9,17_3t,113709830,-528502,7292880,0.003267335686435,0.118512188121001,0.004592450080509,26.5173320716734,18.5491604105686,0.064135879897103,0.073394495,0.058682635,0,0.004793200299699,0.088202932547449,14.0587312087077,18749735,16.7466901769475
BTGPactual,9,17_4t,126591612,783111,8303306,0.003591023123835,0.12294155312635,0.004654679734782,27.1839489416812,18.6564768095552,0.065591281040011,0.162518302,0.073394495,0,0.005698833536634,0.092755431008087,14.094381677725,18656099,16.7416836747221
BTGPactual,9,18_1t,146334059,876314,18059294,0.004189329814908,0.126199278390017,0.004440603109096,29.3628151405459,18.8014026413568,0.12341141989371,0.073512252,0.162518302,0,0.004271673613308,0.08764766900106,14.1566796044281,18868882,16.7530246681068
BTGPactual,9,18_2t,157415806,318574,16421992,0.003899797079049,0.128724223872579,0.004460729084,29.7314673126746,18.8744013082197,0.104322382975951,0.088992974,0.073512252,0,0.00694223425819,0.088404102189387,14.2218359625779,19347662,16.7780821432665
BTGPactual,9,18_3t,163855732,655070,23982421,0.004534785486213,0.133008846829621,0.003783607948655,36.3525064389165,18.9144969157136,0.146363027446608,0.058263971,0.088992974,0,0.005711610657682,0.092993609523986,14.3187790987734,19317464,16.776520115193
BTGPactual,9,18_4t,137646425,1159092,19343084,0.004788680817444,0.137973067274378,0.003943875746383,36.1983382013901,18.7401988175484,0.140527325718776,0.123841618,0.058263971,0,0.007928094241508,0.093085110802231,14.3005641167407,18983605,16.7590862698859
BTGPactual,9,19_1t,211805609,927419,18142556,0.004574615089385,0.13820290189998,0.003885331422204,36.7478347338421,19.1711794733116,0.085656636222509,0.082324455,0.123841618,1,0.00573613515061,0.093609343620861,14.4288507114092,20047698,16.8136248921578
BTGPactual,9,19_2t,173629728,1672610,24629704,0.004601490721479,0.139576510898315,0.003922012337389,36.7612310255465,18.9724355897695,0.141851883797226,-0.027715356,0.082324455,0,0.004340075236393,0.093434748817795,14.4270582363414,20810831,16.8509841302972
BTGPactual,9,19_3t,167986236,1439183,19469984,0.005018085181703,0.134985922862247,0.004065161690709,34.439960497495,18.9393926054398,0.115902257611153,-0.033457249,-0.027715356,1,-0.001440348507347,0.134347902559949,15.4562930558203,21025638,16.8612531081905
BTGPactual,9,19_4t,164382633,1908089,19251665,0.005701052097294,0.132695754569628,0.004441804614003,31.1577880374627,18.9177073963201,0.117114957028338,0.324041812,-0.033457249,1,0.003172417278607,0.120045081119225,15.5063903833429,21738420,16.8945917599233
BTGPactual,9,20_1t,236220859,-2741071,23735692,0.003402995202538,0.096770774004754,0.005264580962589,19.0278713385059,19.280277768582,0.100480931702987,0.410958904,0.324041812,1,-0.011603848244409,0.093128477701455,16.9824904647985,21998889,16.9065025100474
BTGPactual,9,20_2t,245129729,-1816392,34956183,0.002345013018467,0.098498285441619,0.006066420160101,16.6231971737355,19.3172981344925,0.142602788909378,0.552511416,0.410958904,1,-0.007409921299264,0.104325016407945,17.3696059208686,25573163,17.0570540392652
BTGPactual,9,20_3t,272559838,-1043198,48561957,0.001626628903127,0.099095647231994,0.006257564541878,16.0960826629995,19.4233687369523,0.178169892366901,0.547445255,0.552511416,1,-0.003827409084386,0.095371274031943,17.6983510045624,25994379,17.0733908803051
BTGPactual,9,20_4t,253266798,1019021,54496144,0.001487018445726,0.100144864900428,0.00617661675598,16.4542964799874,19.3499540286071,0.215172870784271,0.32,0.547445255,1,0.004023508047826,0.105346043029296,17.8136405048368,26680655,17.0994493289352
BTGPactual,9,21_1t,301280945,888449,60594474,0.001376787759728,0.10125340233114,0.006134059455304,16.7312023691131,19.5235537594853,0.201122822420781,-0.010498688,0.32,1,0.002948905381321,0.100950118169604,17.9197142587628,30414347,17.2304249958369
IND,10,12_4t,4021982,6852,6852,0.000568688989955,0.132998746139712,0.006809599915963,19.6145789441391,15.2072853739193,0.208845539338565,0.023684211,0,1,0.001361888788086,0.117713693217254,15.7336409698743,587201,13.2831224592783
IND,10,13_1t,4259121,-144522,928651,-0.002553955628403,0.130977054908783,0.011964201054852,10.7339469381704,15.2645733589268,0.218038182056814,0.003960396,0.023684211,1,-0.000454539846404,0.117529254868708,15.725974564062,498446,13.1192505375415
IND,10,13_2t,4198205,-33804,1021586,-0.003557162699378,0.130518868219269,0.011870274250908,10.6957685084806,15.2501676109479,0.243338760255871,0.033824805,0.003960396,1,-0.006823627733785,0.106741503566471,15.8669988989842,569558,13.2526159004062
IND,10,13_3t,4171047,6307.9999999,959086,-0.003755112046519,0.130840598137462,0.011754073786632,10.8120374601937,15.2436776413966,0.229938909822881,0.059239611,0.033824805,1,-0.005356224945973,0.100134236254819,15.9420343776344,574456,13.2611787850002
IND,10,13_4t,4936805,-12579.999999,1036371,-0.004123489629924,0.131373718057201,0.011630293177327,10.941274350276,15.4122289187903,0.209927473335487,-0.184594954,0.059239611,1,-0.004468117040636,0.095102395212327,16.0909314214377,674161,13.4212242337725
IND,10,14_1t,5032412,-11230,1118475,-0.002578984421726,0.131613642014296,0.010383092555283,12.4273820064248,15.4314099500044,0.222254258991513,-0.001015228,-0.184594954,1,-0.004330740021584,0.133862561337748,16.0772215717484,667134,13.4107462042704
IND,10,14_2t,5117263,7817,1148862,-0.002616744004878,0.131897215395532,0.010365812741464,12.4718123523039,15.4481302837695,0.224507124218552,0.100164204,-0.001015228,1,-0.001090844949353,0.142526537606288,16.0938958843994,671431,13.4171665346397
IND,10,14_3t,5490487,-5351,1216260,-0.002781878154884,0.13131475494783,0.010318512070676,12.4565320961558,15.518527516291,0.221521333171356,0.06688687,0.100164204,1,-0.004186407248163,0.136695457867598,16.0056989951768,672761,13.4191454192544
IND,10,14_4t,5526738,319.00000001,1526024,-0.003125689857967,0.13027462880564,0.010132385109001,12.5487669072831,15.525108326037,0.276116580883697,-0.184493898,0.06688687,1,0.000982559162572,0.136570545975976,16.0993137705228,676569,13.4247897169572
IND,10,15_1t,5245728,-14225,1397210,-0.003520388272872,0.130202880239192,0.010004968863531,12.6619576426755,15.4729245890369,0.26635197250029,0.023809524,-0.184493898,1,-0.006806886734069,0.136541937174279,16.113119088387,671377,13.4170861061644
IND,10,15_2t,4487411,-213509,1197700,-0.007586663032082,0.130424393231755,0.016015495837958,7.66992988806128,15.3167864787129,0.26690222937012,0.043110735,0.023809524,1,0.005307832765428,0.139624637105161,16.1773147678683,538184,13.1959557881077
IND,10,15_3t,3792548,-37167,841993,-0.008585727475861,0.13071381299661,0.015721495160313,7.76822333215804,15.1485486466837,0.222012483428028,0.030198447,0.043110735,1,-0.005709744685828,0.129351091509896,16.2421663444655,526953,13.1748666394856
IND,10,15_4t,3663595,-15806,525919,-0.009087225740321,0.131993993529568,0.01545719958134,7.95142529812565,15.1139554637322,0.143552712567847,-0.186909091,0.030198447,1,-0.007611287129123,0.126572621559696,16.295172143085,591158,13.289838604144
IND,10,16_1t,3722550,-25710,628795,-0.006835075935507,0.134968613052273,0.013330702780294,9.6119116320091,15.1299194752835,0.168915125384481,0.024299065,-0.186909091,1,-0.001560788630576,0.12229506619443,16.3123480842802,568529,13.2508076023053
IND,10,16_2t,3640323,-20132,829798,-0.006624931417931,0.136273309401592,0.013329651279019,9.72631431009212,15.1075829719398,0.227946256417356,0.05244123,0.024299065,1,0.000803691586026,0.124053464650222,16.3060640675203,550866,13.2192468643662
IND,10,16_3t,3820118,-41595,1025373,-0.007658326187064,0.136229235167321,0.013120500884748,9.79923785758175,15.155791870158,0.268413959987623,0.05075188,0.05244123,1,0.000656036022118,0.123779348377147,16.3701134207255,524104,13.1694454168924
IND,10,16_4t,4118588,-35585,1552649,-0.008165983708531,0.134869489360172,0.013022291859235,9.72973935934243,15.2310209441377,0.376985753369844,0.011331445,0.05075188,1,0.003291924608495,0.127026836131229,16.3219118668073,495224,13.1127654644447
IND,10,17_1t,3907736,-24631,1474855,-0.008505284032143,0.133705056031496,0.012906136472475,9.70079405764589,15.178468736127,0.37741930365818,0.068081344,0.011331445,1,0.000781636698123,0.130491799853438,16.1894235408334,463435,13.0464214168292
IND,10,17_2t,3520411,-48667,1239877,-0.009784601744165,0.132440463304689,0.012577921217452,9.75167990322098,15.0740883021218,0.352196661128488,0.058311575,0.068081344,1,-0.001079765044365,0.13763952174634,16.0471131586307,408487,12.9202153690304
IND,10,17_3t,3146983,-91257,891638,-0.012119906351207,0.131063470066273,0.013370079933674,8.89624925992353,14.9619547740618,0.28333105072382,0.086956522,0.058311575,1,0.00465989445667,0.154587652746065,16.0538486073371,333606,12.7177159349165
IND,10,17_4t,2655217,-67368,598547,-0.014239044433313,0.129398169536264,0.013279451727911,8.67197889359429,14.7920369418983,0.22542300685782,0.027259684,0.086956522,1,0.00384702674976,0.150542827108877,16.1188017016459,271984,12.5134985200186
IND,10,18_1t,2703731,-90312,667129,-0.016796627839943,0.124985430819405,0.013802685342296,7.83824308795476,14.8101432289478,0.24674385136687,0.03864279,0.027259684,1,0.003939003740745,0.145915618993127,16.1957212860178,202868,12.2203108002167
IND,10,18_2t,2546208,-50063,595039,-0.01447014753765,0.11993799956863,0.0099604947375,10.5886158077981,14.7501157515418,0.23369614736895,0.027624309,0.03864279,1,0.005365504497523,0.150416972834547,16.1663467174598,151150,11.9260280002076
IND,10,18_3t,2722644,-55513,609013,-0.015352594512918,0.111272283537921,0.009978196525379,9.61292842659859,14.8171140249525,0.223684403836859,0.05529522,0.027624309,1,0.004719655262037,0.145685933974697,16.2380942748299,95172,11.4634410598713
